ÉJÉmÉì,G5_1,E5_0,F5_0,G5_1,E5_0,F5_0,G5_0,G4_0,A4_0,B4_0,C5_0,D5_0,E5_0,F5_0,E5_1,C5_0,D5_0,E5_1,E4_0,F4_0,G4_0,A4_0,G4_0,F4_0,G4_0,E4_0,F4_0,G4_0,F4_1,A4_0,G4_0,F4_1,E4_0,D4_0,E4_0,D4_0,C4_0,D4_0,E4_0,F4_0,G4_0,A4_0,F4_1,A4_0,G4_0,A4_1,B4_0,C5_0,G4_0,A4_0,B4_0,C5_0,D5_0,E5_0,F5_0,G5_0
ê¢äEÇ…1Ç¬ÇæÇØÇÃâ‘,C5_1,C5_0,C5_2,G5_1,G5_2,F5_2,E5_1,D5_2,E5_2,F5_1,E5_3,D5_3,C5_1,C5_0,C5_2,E5_1,E5_2,D5_2,A4_1,C5_1,B4_0,C5_2,D5_1,E5_3,D5_0,C5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ç≥Ç≠ÇÁÇÒÇ⁄,C5_5,E5_1,G5_3,B4_3,C5_3,qq_0,C5_0,B4_0,C5_0,E5_2,G4_0,G4_3,A4_1,C5_1,B4_0,C5_0,D5_0,G4_0,E5_2,C5_0,C5_2,F4_0,F4_1,G4_1,A4_1,C5_0,C5_0,B4_0,C5_0,C5_3,qq_1,,,,,,,,,,,,,,,,,,,,,,,,,
óÉÇÇ≠ÇæÇ≥Ç¢,E5_1,E5_1,F5_0,E5_1,E5_0,D5_3,E5_1,D5_1,C5_1,C5_1,D5_0,C5_1,C5_0,B4_3,B4_1,G4_1,A4_3,C5_1,A4_1,G4_3,C5_3,D5_7,qq_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ó‹ÇªÇ§ÇªÇ§,G4_3,A4_0,C5_2,G4_3,A4_0,C5_2,C5_3,D5_1,C5_0,D5_0,E5_3,qq_3,A4_3,C5_0,D5_2,G4_3,F5_1,E5_1,D5_0,A4_2,C5_0,D5_2,D5_3,qq_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
âÛÇÍÇ©ÇØÇÃRadio,E5_0,E5_0,E5_0,D5_0,E5_3,D5_1,D5_1,E5_0,C5_2,A4_0,C5_0,C5_0,C5_1,C5_0,C5_0,C5_0,E5_0,E5_2,qq_2,G4_0,A4_0,C5_1,C5_0,D5_1,C5_0,F5_1,E5_0,C5_5,A4_0,C5_0,C5_0,A4_1,C5_0,C5_0,C5_0,A4_0,G4_2,qq_2,C5_0,,,,,,,,,,,,,,,,,
Butter-Fly,C5_2,D5_2,E5_1,D5_1,E5_0,D5_1,C5_0,B4_0,C5_3,qq_2,A4_0,C5_0,E5_0,D5_1,C5_0,C5_0,C5_0,D5_0,D5_0,C5_2,C5_1,B4_0,A4_0,G4_1,E4_0,E4_0,A4_2,qq_0,A4_0,C5_0,A4_0,C5_0,A4_0,C5_0,A4_0,A4_0,E5_1,E5_0,D5_1,C5_0,D5_1,D5_0,,,,,,,,,,,,,,
ïâÇØÇ»Ç¢Ç≈,C5_1,G4_1,C5_1,E5_1,D5_3,B4_3,C5_3,B4_1,A4_1,G4_3,G4_3,A4_1,G4_1,G4_1,F4_1,G4_3,C5_1,C5_1,A4_1,C5_3,E5_1,D5_3,C5_1,D5_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
è¨Ç≥Ç»óˆÇÃÇ§ÇΩ,E5_1,E5_1,D5_1,C5_1,G5_3,G5_1,G5_1,A5_1,G5_1,F5_1,A5_1,G5_3,G5_1,G5_1,A5_1,G5_1,F5_1,A5_1,G5_3,E5_1,E5_1,F5_1,E5_0,C5_1,D5_1,D5_2,qq_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
à§ÇÇ±ÇﬂÇƒâ‘ë©Ç,C5_0,G4_0,A4_0,G4_0,A4_1,G4_1,E5_1,G5_0,E5_0,D5_0,C5_2,C5_0,G4_0,A4_0,G4_0,A4_1,G4_1,E5_1,G5_0,E5_0,D5_1,C5_1,A4_3,qq_0,A4_0,B4_0,C5_0,E5_3,C5_3,F5_1,E5_1,C5_1,A4_1,G4_1,D5_0,D5_2,C5_0,D5_0,,,,,,,,,,,,,,,,,,
